PROPERTY NAME,PROPERTY BASE COST,MORTGAGE PRICE,HOUSE COST,NO HOUSE RENT,ONE HOUSE RENT,TWO HOUSE RENT,THREE HOUSE RENT,FOUR HOUSE RENT,HOTEL RENT
Boardwalk,200,200,50,200,600,1400,1700,2000
Capen,175,200,35,175,500,1100,1300,1500
Alumni Arena,160,200,28,150,450,1000,1200,1400
Davis,150,200,26,130,390,900,1100,1275
Health Clinic,150,200,26,130,390,900,1100,1275
Student Union,140,150,24,120,360,850,1025,1200
NSC,130,150,22,110,330,800,975,1150
Center for the Arts,130,150,22,110,330,800,975,1150
Knox,120,150,20,100,300,750,925,1100
Jacobs Management Center,110,150,18,90,250,700,875,1050
Furnas,110,150,18,90,250,700,875,1050
Talbert,100,100,16,80,220,600,800,1000
Lockwood Library,90,100,14,70,200,550,750,950
Cooke,90,100,14,70,200,550,750,950
O'Brian,80,100,12,60,180,500,700,900
Norton,70,100,10,50,150,450,625,750
Baird,70,100,10,50,150,450,625,750
Baldy,60,50,8,40,100,300,450,600
Computing Center,50,50,6,30,90,270,400,550
Commons,50,50,6,30,90,270,400,550
Fronczak,30,50,4,20,60,180,320,450
Campus Mail,30,50,2,10,30,90,160,250